sentence,lexical_unit,gold_frame,frame_definition,domain,sentence_length,is_long_context,is_ambiguous_lu,hard_negative_frames
Social services have stopped paying a £30 attendance allowance for Becky to go to Southampton once every two months for treatment .,stop,Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September 1988.'",general,22,True,True,Halt|Preventing_or_letting|Process_stop|Thwarting
"I stopped smoking two years ago and I stopped doing all the silly drugs and drink nearly six years ago , so you naturally gravitate towards quite a healthy diet .",stop,Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September 1988.'",news_politics,31,True,True,Halt|Preventing_or_letting|Process_stop|Thwarting
The prevalence of this association was found to be higher in our study than in other previous series [ 2 3 4 5 6 7 ] . The true prevalence could be even higher since liver enzyme profiles were not done in all patients .,true,Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world. Of course, the real-world Instance of the expected Type may also be presented as not occurring, as in the last example below. 'Actual results may vary.' 'ACTUAL results may vary.' 'Also present is the actual policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Also present is the ACTUAL policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Of course, an actual car with all these capabilities simply did not exist.' 'Of course, an ACTUAL car with all these capabilities simply did not exist.'",science_medical,45,True,True,Accuracy|Artificiality|Candidness|Correctness|Exemplar
"While I appreciate U.S. News & World Report 's endorsement , the true value of your support is measured by the way Goodwill takes on problems that affect all of us .",true,Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world. Of course, the real-world Instance of the expected Type may also be presented as not occurring, as in the last example below. 'Actual results may vary.' 'ACTUAL results may vary.' 'Also present is the actual policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Also present is the ACTUAL policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Of course, an actual car with all these capabilities simply did not exist.' 'Of course, an ACTUAL car with all these capabilities simply did not exist.'",general,32,True,True,Accuracy|Artificiality|Candidness|Correctness|Exemplar
Example 5 shows the true dominance of the perfect fourth ; the set created is a ten-note set derived by stacking fourths .,true,Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world. Of course, the real-world Instance of the expected Type may also be presented as not occurring, as in the last example below. 'Actual results may vary.' 'ACTUAL results may vary.' 'Also present is the actual policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Also present is the ACTUAL policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Of course, an actual car with all these capabilities simply did not exist.' 'Of course, an ACTUAL car with all these capabilities simply did not exist.'",general,23,True,True,Accuracy|Artificiality|Candidness|Correctness|Exemplar
"April 27, 2009 4:45 PM Brad Templeton : When I got to United 's site it has two columns , one for true miles flown ( sort of ) and one for elite bonus .",true,Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world. Of course, the real-world Instance of the expected Type may also be presented as not occurring, as in the last example below. 'Actual results may vary.' 'ACTUAL results may vary.' 'Also present is the actual policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Also present is the ACTUAL policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Of course, an actual car with all these capabilities simply did not exist.' 'Of course, an ACTUAL car with all these capabilities simply did not exist.'",general,35,True,True,Accuracy|Artificiality|Candidness|Correctness|Exemplar
"That 's why I ask that ( today , 1993 ) we NOT LABEL true plain text as US-ASCII /ISO-8859-1 .",true,Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world. Of course, the real-world Instance of the expected Type may also be presented as not occurring, as in the last example below. 'Actual results may vary.' 'ACTUAL results may vary.' 'Also present is the actual policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Also present is the ACTUAL policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Of course, an actual car with all these capabilities simply did not exist.' 'Of course, an ACTUAL car with all these capabilities simply did not exist.'",general,21,True,True,Accuracy|Artificiality|Candidness|Correctness|Exemplar
"In this case , though , when I totalled their length it came to 2,000 words ; and the books editor had asked for 700 .",total,Adding_up,"A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases. ' 'When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds' 'Chaperones tallied the number of tickets sold at the school dance at more than 1000.'",legal,26,True,True,Amounting_to|Completeness|Render_nonfunctional
A spreadsheet makes operations like totalling a column of numbers or producing a bar chart a straightforward operation -- SuperCalc 5.5 makes them incredibly quick and easy due to the icons in its new Tool Bar .,total,Adding_up,"A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases. ' 'When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds' 'Chaperones tallied the number of tickets sold at the school dance at more than 1000.'",news_politics,37,True,True,Amounting_to|Completeness|Render_nonfunctional
The goals scored over four weeks are totalled and the highest number of goals wins a prize of £50 .,total,Adding_up,"A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases. ' 'When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds' 'Chaperones tallied the number of tickets sold at the school dance at more than 1000.'",sports,20,True,True,Amounting_to|Completeness|Render_nonfunctional
Unfortunately it is insufficient to total the number of weeks of holiday to be taken in the year by staff and divide by fifty-two .,total,Adding_up,"A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases. ' 'When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds' 'Chaperones tallied the number of tickets sold at the school dance at more than 1000.'",general,25,True,True,Amounting_to|Completeness|Render_nonfunctional
By totalling the number of such problems ( listed in the box ) a total score with a maximum of 13 was derived .,total,Adding_up,"A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases. ' 'When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds' 'Chaperones tallied the number of tickets sold at the school dance at more than 1000.'",general,24,True,True,Amounting_to|Completeness|Render_nonfunctional
the square roots obtained from all the interest category loan components are totalled and then each individual square root is calculated as a percentage of that total .,total,Adding_up,"A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases. ' 'When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds' 'Chaperones tallied the number of tickets sold at the school dance at more than 1000.'",general,28,True,True,Amounting_to|Completeness|Render_nonfunctional
"At the end of the accounting period the revenue accounts are totalled and the balance , positive or negative , transferred to the profit and loss account .",total,Adding_up,"A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases. ' 'When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds' 'Chaperones tallied the number of tickets sold at the school dance at more than 1000.'",general,28,True,True,Amounting_to|Completeness|Render_nonfunctional
"Should you have questions or if I can be of assistance in any way , please call me : 317.923.1331 , ext. 248 .",way,Alternatives,"There exist a number of different possible Situations that may happen in the future. (In some cases, the Situation is concurrent or past, and only the knowledge of which has happened is in the future.) In most cases, there is an Agent involved who has to consider which of the possible Situations will or should occur. A Salient_entity which is deeply involved in the Situation may also be mentioned. 'You have but two choices for your daughter .' While all the members of this frame denote possible situations, in principle, this frame could be split into a number of subtypes on the following basis: ''1. Future.n, and most uses of alternative.n and possibility.n all evoke nothing more than a simple possible situation (not necessarily an Situation) with no Agent; the remaining frames would inherit from this. ''2. Use.n evokes different possible things that can be done with a Salient_entity (i.e., Purposes) and thus uses the Using frame; in this frame, the target denotes the Purpose that can be achieved. ''3. way.n evokes different events that can lead to an Outcome (not necessarily a Purpose); this frame should use the Means frame. In this frame, the target denotes the possible Means actions. ''4. option.n, choice.n, and many instances of alternative.n and possibility.n, evoke possible Situations that an implicit or explicit Agent can bring about at will. A Purpose that would be served by bringing these Situations about may be mentioned. A Salient_entity related to the Purpose may occur in place of the Purpose.",general,24,True,True,Conduct|Degree|Direction|Manner|Means
"Since the early 1990s , China has improved its export controls , including the promulgation of regulations on nuclear and nuclear dual - use exports and has pledged to halt exports of nuclear technology to un - safeguarded facilities .",use,Alternatives,"There exist a number of different possible Situations that may happen in the future. (In some cases, the Situation is concurrent or past, and only the knowledge of which has happened is in the future.) In most cases, there is an Agent involved who has to consider which of the possible Situations will or should occur. A Salient_entity which is deeply involved in the Situation may also be mentioned. 'You have but two choices for your daughter .' While all the members of this frame denote possible situations, in principle, this frame could be split into a number of subtypes on the following basis: ''1. Future.n, and most uses of alternative.n and possibility.n all evoke nothing more than a simple possible situation (not necessarily an Situation) with no Agent; the remaining frames would inherit from this. ''2. Use.n evokes different possible things that can be done with a Salient_entity (i.e., Purposes) and thus uses the Using frame; in this frame, the target denotes the Purpose that can be achieved. ''3. way.n evokes different events that can lead to an Outcome (not necessarily a Purpose); this frame should use the Means frame. In this frame, the target denotes the possible Means actions. ''4. option.n, choice.n, and many instances of alternative.n and possibility.n, evoke possible Situations that an implicit or explicit Agent can bring about at will. A Purpose that would be served by bringing these Situations about may be mentioned. A Salient_entity related to the Purpose may occur in place of the Purpose.",general,40,True,True,Ingest_substance|Purpose|Tool_purpose|Treating_and_mistreating|Using
"In contrast to the homespun approach of Chiles , Martinez was believed to have amassed some $7,000,000 to spend on his November campaign , and was expected to use negative tactics .",amass,Amassing,"A Recipient (who may or may not be agentive) ends up in possession of a Mass_theme (which may be conceptualized as a single mass entity, or may be a group of individual entities). Some lexical units (e.g. stockpile) specifically indicate an intentional Recipient. This frame differs from Gathering_up in that this frame refers specifically to the acquisition and (according to expectation) long-term possession of entities, rather than (as in the Gathering_up frame) simply talking about causing a group of entities to be located in the same place. In sum, Gathering_up concerns (co-)locations, but Amassing concerns possession. 'Bogs accumulate carbon for thousands of years.'",daily_life,32,True,True,Come_together|Gathering_up
During the 1980s these quasi-government agencies became a convenient means of off-balance-sheet financing ; so much so that they have now amassed nearly $1 trillion-worth of obligations underwritten by the American taxpayer .,amass,Amassing,"A Recipient (who may or may not be agentive) ends up in possession of a Mass_theme (which may be conceptualized as a single mass entity, or may be a group of individual entities). Some lexical units (e.g. stockpile) specifically indicate an intentional Recipient. This frame differs from Gathering_up in that this frame refers specifically to the acquisition and (according to expectation) long-term possession of entities, rather than (as in the Gathering_up frame) simply talking about causing a group of entities to be located in the same place. In sum, Gathering_up concerns (co-)locations, but Amassing concerns possession. 'Bogs accumulate carbon for thousands of years.'",news_politics,33,True,True,Come_together|Gathering_up
"After being ignored by streams of tight-lipped Brits , the Goldsmiths graduate finally amassed almost 400 portraits , a selection of which are on display at the Marconi Gallery in Milan this month .",amass,Amassing,"A Recipient (who may or may not be agentive) ends up in possession of a Mass_theme (which may be conceptualized as a single mass entity, or may be a group of individual entities). Some lexical units (e.g. stockpile) specifically indicate an intentional Recipient. This frame differs from Gathering_up in that this frame refers specifically to the acquisition and (according to expectation) long-term possession of entities, rather than (as in the Gathering_up frame) simply talking about causing a group of entities to be located in the same place. In sum, Gathering_up concerns (co-)locations, but Amassing concerns possession. 'Bogs accumulate carbon for thousands of years.'",general,34,True,True,Come_together|Gathering_up
"I have always been deeply suspicious of Roddick and her cliche-ridden slogans and highly-publicised efforts to save the world , while quietly amassing a fortune on the side .",amass,Amassing,"A Recipient (who may or may not be agentive) ends up in possession of a Mass_theme (which may be conceptualized as a single mass entity, or may be a group of individual entities). Some lexical units (e.g. stockpile) specifically indicate an intentional Recipient. This frame differs from Gathering_up in that this frame refers specifically to the acquisition and (according to expectation) long-term possession of entities, rather than (as in the Gathering_up frame) simply talking about causing a group of entities to be located in the same place. In sum, Gathering_up concerns (co-)locations, but Amassing concerns possession. 'Bogs accumulate carbon for thousands of years.'",general,29,True,True,Come_together|Gathering_up
"In a week of feverish detective work , he amassed a dossier on the publishing arrangements of Sting 's manager , Miles Copeland .",amass,Amassing,"A Recipient (who may or may not be agentive) ends up in possession of a Mass_theme (which may be conceptualized as a single mass entity, or may be a group of individual entities). Some lexical units (e.g. stockpile) specifically indicate an intentional Recipient. This frame differs from Gathering_up in that this frame refers specifically to the acquisition and (according to expectation) long-term possession of entities, rather than (as in the Gathering_up frame) simply talking about causing a group of entities to be located in the same place. In sum, Gathering_up concerns (co-)locations, but Amassing concerns possession. 'Bogs accumulate carbon for thousands of years.'",general,24,True,True,Come_together|Gathering_up
Another advantage of the gens system was that you could keep the fortune you had amassed in one incarnation and use it in the next .,amass,Amassing,"A Recipient (who may or may not be agentive) ends up in possession of a Mass_theme (which may be conceptualized as a single mass entity, or may be a group of individual entities). Some lexical units (e.g. stockpile) specifically indicate an intentional Recipient. This frame differs from Gathering_up in that this frame refers specifically to the acquisition and (according to expectation) long-term possession of entities, rather than (as in the Gathering_up frame) simply talking about causing a group of entities to be located in the same place. In sum, Gathering_up concerns (co-)locations, but Amassing concerns possession. 'Bogs accumulate carbon for thousands of years.'",daily_life,26,True,True,Come_together|Gathering_up
"Nevertheless , this happened to many , but I would question if anyone in the Command had amassed the experience of Fraser Barron in such a relatively short time .",amass,Amassing,"A Recipient (who may or may not be agentive) ends up in possession of a Mass_theme (which may be conceptualized as a single mass entity, or may be a group of individual entities). Some lexical units (e.g. stockpile) specifically indicate an intentional Recipient. This frame differs from Gathering_up in that this frame refers specifically to the acquisition and (according to expectation) long-term possession of entities, rather than (as in the Gathering_up frame) simply talking about causing a group of entities to be located in the same place. In sum, Gathering_up concerns (co-)locations, but Amassing concerns possession. 'Bogs accumulate carbon for thousands of years.'",general,30,True,True,Come_together|Gathering_up
