model,model_type,condition,sentence,lexical_unit,gold_frame,prediction,correct,error_type
flan_t5_small,small_instruction_model,zero_shot,"The quake knocked The Well out for six hours , but when it came back up , it teemed with emotional first-hand reports .",teem,Abounding_with,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,` East Germany is crawling with spies and traitors .,crawling,Abounding_with,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,It 's crawling with cops .,crawling,Abounding_with,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Agnes waited for George , but when he stayed quiet , she said : ` Harry , Neptune Court and its purlieus will be absolutely crawling with cops .",crawling,Abounding_with,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"And when they died and the fleas had finished feasting on their blood , which was by then putrid and crawling with the bacilli , the fleas looked round for another host , and if they could not find another rat , or any small hairy creature to their liking , they settled for the next best thing , which was usually human .",crawling,Abounding_with,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,The wild pigs on the spit sizzled gently .,sizzle,Absorb_heat,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Uncover the pan and continue cooking until all the moisture has evaporated ; the pan should also be sizzling again and the dumplings golden brown and crisp underneath .,sizzle,Absorb_heat,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"You 're going to a friend 's for a barbecue on a hot summer 's evening , and you 're walking up the drive and you can smell the barbecue sizzling away .",sizzle,Absorb_heat,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Breakfast of sausage , egg and chips was sizzling over camp-fires .",sizzle,Absorb_heat,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Inside was a lighted wick ; as the metal dish warmed up , the nicotine began to sizzle and give off fumes lethal to red spider mite and aphids .",sizzle,Absorb_heat,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"The torsos sizzle in their own fat , swell and explode . """,sizzle,Absorb_heat,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,She did this now and the spit sizzled on the iron .,sizzle,Absorb_heat,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,The omelette sizzled in the cast-iron pan .,sizzle,Absorb_heat,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,A fire was burning in a black grate which had an oven to the side of it ; a large black kettle was sizzling on the hob .,sizzle,Absorb_heat,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Droplets of coffee sizzled on the hotplate .,sizzle,Absorb_heat,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Similarly , Thatcher provides abundant evidence which shows that while most of the workers made redundant in the industrial sector were men , most of the expansion in the public services was in female employment .",abundant,Abundance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"As far as actual examples of volcanic rocks are concerned , it was mentioned that the most abundant are basalts , which form at mid-ocean ridges , and andesites , which are formed at destructive plate margins .",abundant,Abundance,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"Strangely enough , water birds are most abundant in the Dry Zone .",abundant,Abundance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,One thing becomes clear about large animal size : such creatures must have an abundant supply of food .,abundant,Abundance,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"There is abundant evidence from government and private research which shows quite clearly that manual workers , and particularly the unskilled , are more likely to suffer from both short-term and long-term unemployment than the non-manual groups .",abundant,Abundance,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"In the Mediterranean coral was so abundant and so easily harvested that it never became valuable , at least in the home territory .",abundant,Abundance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"They would n't have to pull in their belts , they would n't have to eke it out and ration themselves because there was n't enough , it was an abundant harvest !",abundant,Abundance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Nevertheless , echo sounding shows that fish are abundant over the entire surface to a depth of at least 30 m .",abundant,Abundance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Until 15 years ago , the frogs were abundant in Northern Australia .",abundant,Abundance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Though several tigers are sometimes found together because , perhaps , prey is particularly abundant in that area , tigers are essentially solitary .",abundant,Abundance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Today , we serve children and families with a multitude of problems : emotional , physical , psychological and sexual abuse .",abuse,Abusing,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"Doug had heard that his wife Danielle had been known to appear at the store with a black eye or other signs of physical abuse , and it was well known that he hated Dempster ; he had frequently said so himself in front of witnesses .",abuse,Abusing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Though the number of cases where a link between HIV/AIDS and child sexual abuse has been made is relatively small , the long-term implications can not be ignored .",abuse,Abusing,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"In the USA some interesting research ( Zuravin and Watson , 1987 ) has been conducted into anonymous reports of child physical abuse , which indicated that reports made by anonymous sources were more likely to be unfounded than reports made by professionals and nonprofessionals .",abuse,Abusing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"No one , either in Orkney or beyond , denies that child abuse exists ; some say that the sexual abuse of children is rife in today 's society .",abuse,Abusing,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,It is indeed very rare for a case of sexual abuse by a teacher to surface publicly .,abuse,Abusing,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,A FULL public inquiry was promised last night into allegations of sexual and physical abuse of children in council care .,abuse,Abusing,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,One girl talked to us about her sexual abuse .,abuse,Abusing,Abounding_with,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"Reports on the armed conflict in the former Yugoslavia , however , suggest not only that rape and the sexual abuse of women have been carried out on a massive scale , but that it has been systematic and organised .",abuse,Abusing,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,Abuse of children has been recognised as an important concern because children are seen to represent the future ; to abuse them is to abuse the future welfare of the nation .,abuse,Abusing,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"The king tried to rally the city to his defence , but failed utterly and withdrew westwards with the Despensers and a few remaining friends .",with,Accompaniment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,In March the first Soviet military units began withdrawing with their equipment from Czechoslovakia and Hungary .,with,Accompaniment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"He finally withdrew with Rupert and , like him , was at length formally reconciled to the king , being pardoned on 3 April 1646 and created baronet on 11 June .",with,Accompaniment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"With his family and friends Doak has pioneered work and communication with dolphins in the wild , interacting with them on their terms , and in their environment .",with,Accompaniment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"While I was standing on the lawn with Mame , waiting for another tremor , I noticed that all the earthworms were emerging from the ground and slithering across the lawn !",with,Accompaniment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"In the early 1980 s , Libya accelerated its efforts to obtain a longer-range ballistic missile with the al-Fatah , reportedly with a range of 950 km .",with,Accompaniment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod 's paranoia by fleeing into Egypt with the new - born infant .",with,Accompaniment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Prosperity has brought with it a new emphasis on historic preservation .,with,Accompaniment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .",with,Accompaniment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"With the help of friends like you , Goodwill has continued to adapt our services to meet the human needs of our changing society .",with,Accompaniment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"They accomplish this task by listening to papers delivered on them and by attending ` pray-ins "" in which they pray to the Implied Reader .",accomplish,Accomplishment,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,Leonie had exactly one hour to accomplish her mission .,accomplish,Accomplishment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"In the past 200 years , America has accomplished feats which took other countries years to achieve .",accomplish,Accomplishment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,In any transient situation there are always institutions and individuals that are able to anticipate the need for change and are sufficiently flexible to be able to accomplish the transition early and in an orderly fashion .,accomplish,Accomplishment,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,You can accomplish much more without any damage to health or mental stability .,accomplish,Accomplishment,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,Indeed very few presidents in the last half century have accomplished much in the way of substantial policy change .,accomplish,Accomplishment,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"Recent and current work demonstrates incontrovertibly that if a child is adept at segmenting heard speech into sub-word constituents before tackling the task of learning to read , this task will be accomplished much more easily .",accomplish,Accomplishment,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"He accomplished much while director of the Metropolitan Museum of Art , but today is apparently content to sit out the art world harbouring bitter memories of what might have been .",accomplish,Accomplishment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Good-nights were exchanged and he left the shop with a feeling of satisfaction , as if a rather difficult task had been successfully accomplished .",accomplish,Accomplishment,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,With some hindsight we began to realise that the design and control of large systems can not be successfully accomplished without exceedingly large quantities of information .,accomplish,Accomplishment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Wan and red-eyed , and nearly always male , they wore rebel chic regalia and communicated in either a hyperactive babble or a laboured monotone .",regalia,Accoutrements,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Tammuz managed to catch Roirbak just as he was making the finishing touches to his evening regalia : black , matt silk suit with thread-wide yellow pinstripe , understated gold adornments , I-Ching earrings .",regalia,Accoutrements,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"The faces grinning from the tatty punk regalia looked so depraved and hollow-eyed that I could not bear to think of my American blues friends calling them ` sir "" .",regalia,Accoutrements,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Some of them were dressed in Ottoman regalia or Arab dress or even French cavalry uniform , serious-looking young men who -- in the later pictures -- were carrying Lee-Enfield service rifles .",regalia,Accoutrements,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Barbarossa 's own depiction shows imperial regalia of orb and sceptre .,regalia,Accoutrements,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"` I expect she would laugh her socks off if she found you here in royal regalia ! """,regalia,Accoutrements,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,He did so wearing his coral regalia .,regalia,Accoutrements,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,The wealth of diamonds incorporated in her regalia reflected the fact that Catherine presided over a realm that for a short period was the world 's leading producer .,regalia,Accoutrements,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Aunt Tossie , Mrs Florence Fox-Collier , was Maman 's ( Lady Forester 's ) elder and widowed sister -- widowed for two years but still wearing full mourning regalia .",regalia,Accoutrements,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"The New Musical Express , stumbling after the new wave , advertised bells and full hippy regalia , from the people who had brought Beatle jackets to the young .",regalia,Accoutrements,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,This helps stress the need to get the whole approach right if the landings are to be reasonably accurate .,accurate,Accuracy,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,Large samples should permit more accurate estimates of prevalence than smaller studies .,accurate,Accuracy,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"The neolithic builders were highly accurate , curving the stone lintels to follow the circumference of a circle and aligning the stones with the exact positions of the midwinter and midsummer sun .",accurate,Accuracy,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"For further and more accurate identification of meiotic bivalents , or in the interpretation of abnormal configurations , C-banding will be found helpful .",accurate,Accuracy,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Speedy , and with neat control , his shooting was accurate and his use of dead-ball situations intelligent and effective .",accurate,Accuracy,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,It is crucially dependent upon accurate forecasting and the ability of the MAC to deliver the right student numbers in the right field combinations .,accurate,Accuracy,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Another side of Alfieri 's very accurate sense of perception , is his fatalism .",accurate,Accuracy,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,However random access is fast and accurate and VHD is the main rival on the British market to the Active Play laser disc for education and training uses .,accurate,Accuracy,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Bar charts are very versatile and accurate .,accurate,Accuracy,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,Farmers would have to be 100 per cent accurate in the identification system to avoid losing out on premium payments .,accurate,Accuracy,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"In part three next month , we suggest ways of originating your own artwork so that you can design your very own printed circuit boards .",originate,Achieving_first,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Monsieur Nýgre himself , who has originated the idea of sweetmeats of crystallised flowers -- you have seen his shop in this very street -- has supplied the violets . """,originate,Achieving_first,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"In addition it was felt that if regional studios were established as well as transmitters , these would be able to originate their own material for local transmission , which would help redress any cultural imbalance in programming .",originate,Achieving_first,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"He then made a major contribution to the development of the internal combustion engine , originating the use of aluminium for pistons .",originate,Achieving_first,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"We believe , as did the Ancient Greeks who originated the word ‘ aristocracy ’ , that every man with the right attitude and talents , regardless of birth or riches , has a capacity of reaching … that status in its true sense . ’",originate,Achieving_first,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"And by the same token , there is no such thing as an author , that is to say , one who originates a work of fiction ab nihilo .",originate,Achieving_first,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,The agency originated no new creative work for the brands .,originate,Achieving_first,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"William Morris , drawn into politics by the Bulgarian Atrocities agitation , had originated the trend for middle-class intellectuals disillusioned with liberal foreign policy to place their faith in the workers .",originate,Achieving_first,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Waddell , a Professor of Tibetan at the University of London , believed that the Aryans were the bearers of culture and had originated all the main civilizations in history .",originate,Achieving_first,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"If Burun had originated the plot , it was possible that he felt some responsibility towards Sidacai .",originate,Achieving_first,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,The second generation thrombolytic agents are recombinant tissue plasminogen activator ( rt-PA ) and APSAC ( anistreplase ) .,agent,Active_substance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Currently available thrombolytic agents have several important limitations .,agent,Active_substance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,After any effective thrombolytic agent the patient is usually left with a patent vessel .,agent,Active_substance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"THE only surprise in the history of interferon is its meteoric rise to fame as a cancer cure , after its earlier promise as an anti-viral agent .",agent,Active_substance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,He conceded that high levels of pollution could have affected the dolphin 's defence mechanisms making them vulnerable to attack by an infectious agent .,agent,Active_substance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Very recently it has been shown that treating prediabetic mice ( that is , before they develop symptoms ) with various chemical agents , including insulin , will prevent diabetes from developing .",agent,Active_substance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Various pharmacological agents can modulate the IP 3 R but their actions are not particularly specific .,agent,Active_substance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Those patients at most risk when undergoing ERCP are the elderly , and previous workers have shown that age is a predisposing factor to hypoxia during ERCP when narcotic agents are used in conjunction with benzodiazepine sedation .",agent,Active_substance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Britain and America are worried enough to have produced enough serum to immunise their troops against anthrax , one of the biological agents he is most likely to have .",agent,Active_substance,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Biological agents provide promising alternatives , but we need to understand more about their modes of action .",agent,Active_substance,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"So , come , let 's be done with it ! """,done,Activity_done_state,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Faith was done with old-fashioned equipment ; we needed more equipment to do the water-crossings ahead .,done,Activity_done_state,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"I am done with you ; you may lead your lives as you wish . """,done,Activity_done_state,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"I 'll take the English car and be done with it . """,done,Activity_done_state,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Each day , when Tod and I are done with the Gazette , we take it back to the store .",done,Activity_done_state,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Lets wait and try to offset the amount we owe them with what they owe us - so I say wait until you get July and August done .,done,Activity_done_state,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"The Second Temple was finished in 515 b.c. , but much of the city still lay in ruins .",finished,Activity_done_state,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,When Miss Thorne finished working on the scene he heard his companions sigh with relief .,finish,Activity_finish,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"She had finished tea , and the tray was still at her side .",finish,Activity_finish,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Waiting and more waiting , thought Claudel as he finished breakfast .",finish,Activity_finish,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Then finish the vegetables .,finish,Activity_finish,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Sometimes called Scotland 's Disgrace , because it was never finished for lack of funds , this fragment of a memorial to the fallen in the Napoleonic War was intended to be a facsimile of the parthenon .",finish,Activity_finish,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"“ It 's the best … it 's the best , ” but he never finished .",finish,Activity_finish,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Are you all finished now ?,finish,Activity_finish,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,"Malone finished strongly and were rewarded with a try by Stuart Hooks in the final minute which was converted by Bush , whose place kicking was impeccable .",finish,Activity_finish,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"However , Price finished strongly and snatched one five minutes from the end and came very close to forcing a replay .",finish,Activity_finish,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Although Pendero had finished strongly at Ascot , that was because it had been a truly run race and the leaders had finished tired .",finish,Activity_finish,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,“ I keep getting interrupted .,keep,Activity_ongoing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"John Surtees kept the British flag flying in 1964 , before Clark won his second title a year later .",keep,Activity_ongoing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"I kept expecting the teacher to praise her , but instead she suddenly cried out ,",keep,Activity_ongoing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"I kept saying to them all in my mind , ` You see ?",keep,Activity_ongoing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,I have a friend who owns an ST and he keeps telling me to sell my C64 .,keep,Activity_ongoing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Do n't keep painting over chipped or worn polish .,keep,Activity_ongoing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"He kept thinking of the girl in Mu Chua 's House of the Ninth Ecstasy ; the singsong girl , White Orchid , who had looked so much like Vesa .",keep,Activity_ongoing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"` I keep telling him people ca n't see him on the radio . """,keep,Activity_ongoing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,I kept my hands clasped tightly to avoid the habitual gesture of hiding myself from sight .,keep,Activity_ongoing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,I said after last Tuesday 's game that if we kept working our luck would turn .,keep,Activity_ongoing,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Under instructions from the Audit Commission , which oversees local-government finances , all councils suspended payments to the banks in November 1989 .",suspend,Activity_pause,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"The CSCE on July 8 suspended the membership of the rump Yugoslavia , consisting of Serbia and Montenegro , until Oct. 14 .",suspend,Activity_pause,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Business suspended , thought Richard .",suspend,Activity_pause,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Both countries suspended aid to the islands while the mercenaries were in control .,suspend,Activity_pause,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,THE United Nations suspended humanitarian aid operations in Bosnia-Herzegovina yesterday because of obstruction and interference by all three civil war factions .,suspend,Activity_pause,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"The majority of the hunger strikers suspended their action on Oct. 12 after Moshe Shahal , the Israeli Minister of Police and Communications , announced the establishment of a special investigative committee to look into their demands .",suspend,Activity_pause,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,The blackout extended to news of the war and the German advance on Paris ; newspapers suspended publication temporarily and crowds gathered round the official bulletins pasted on the walls as rumour raced round the city .,suspend,Activity_pause,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"BOSNIA 'S Muslim president yesterday suspended temporarily his participation in international peace talks in New York , saying he could not be involved as long as Serbs continued their offensive in eastern Bosnia and Sarajevo .",suspend,Activity_pause,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,The case was suspended indefinitely .,suspend,Activity_pause,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,The session was temporarily suspended .,suspend,Activity_pause,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"To prepare adequately for a marathon , I think you should allow 26 weeks if you are inexperienced and at least 12 weeks if you have run several .",prepare,Activity_prepare,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,You do not feel inhibited because you have n't prepared adequately or fear that other people might catch you out or ridicule you .,prepare,Activity_prepare,Abandonment,False,wrong_frame_prediction
flan_t5_small,small_instruction_model,zero_shot,But I did n't prepare carefully enough .,prepare,Activity_prepare,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"The allegations broke on Tuesday as Jackson was preparing for the first of two concerts in Bangkok , the first stop in the Asian swing of his Dangerous world tour .",prepare,Activity_prepare,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"North Korea has not conducted a nuclear test , but in early May 2005 , press reports indicated that U.S. satellite imagery had detected signs that North Korea could be preparing for a nuclear test to be conducted in June .",prepare,Activity_prepare,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Many analysts now believe the talks are dead , and in early May 2005 there were reports that Washington and Tokyo were preparing to refer the issue to the UN Security Council .",prepare,Activity_prepare,UNKNOWN,False,unknown_prediction
