sentence,lexical_unit,gold_frame,frame_definition
Rare blue lizards scurry among the rocks of Petra ; clumps of black lilies grow beside the King 's Highway ; the few oases teem with birds .,teem,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'"
"If the Universe is teeming with technological civilizations , why have they not come to visit us ?",teem,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'"
"Until the 1940s , its beaches teemed with wildlife .",teem,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'"
"The quake knocked The Well out for six hours , but when it came back up , it teemed with emotional first-hand reports .",teem,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'"
` East Germany is crawling with spies and traitors .,crawling,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'"
It 's crawling with cops .,crawling,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'"
"Agnes waited for George , but when he stayed quiet , she said : ` Harry , Neptune Court and its purlieus will be absolutely crawling with cops .",crawling,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'"
"And when they died and the fleas had finished feasting on their blood , which was by then putrid and crawling with the bacilli , the fleas looked round for another host , and if they could not find another rat , or any small hairy creature to their liking , they settled for the next best thing , which was usually human .",crawling,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'"
The wild pigs on the spit sizzled gently .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'"
Uncover the pan and continue cooking until all the moisture has evaporated ; the pan should also be sizzling again and the dumplings golden brown and crisp underneath .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'"
"You 're going to a friend 's for a barbecue on a hot summer 's evening , and you 're walking up the drive and you can smell the barbecue sizzling away .",sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'"
"Breakfast of sausage , egg and chips was sizzling over camp-fires .",sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'"
"Inside was a lighted wick ; as the metal dish warmed up , the nicotine began to sizzle and give off fumes lethal to red spider mite and aphids .",sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'"
"The torsos sizzle in their own fat , swell and explode . """,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'"
She did this now and the spit sizzled on the iron .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'"
The omelette sizzled in the cast-iron pan .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'"
A fire was burning in a black grate which had an oven to the side of it ; a large black kettle was sizzling on the hob .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'"
Droplets of coffee sizzled on the hotplate .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'"
"Similarly , Thatcher provides abundant evidence which shows that while most of the workers made redundant in the industrial sector were men , most of the expansion in the public services was in female employment .",abundant,Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm. 'Beauty is abundant in a land flowing with snowmelt.' 'Detritus of life abounds in the atmosphere. ' 'There was a recent discovery that exotic microbes teem in the rocks hundreds of metres beneath the floor of the Pacific Ocean.'
"As far as actual examples of volcanic rocks are concerned , it was mentioned that the most abundant are basalts , which form at mid-ocean ridges , and andesites , which are formed at destructive plate margins .",abundant,Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm. 'Beauty is abundant in a land flowing with snowmelt.' 'Detritus of life abounds in the atmosphere. ' 'There was a recent discovery that exotic microbes teem in the rocks hundreds of metres beneath the floor of the Pacific Ocean.'
"Strangely enough , water birds are most abundant in the Dry Zone .",abundant,Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm. 'Beauty is abundant in a land flowing with snowmelt.' 'Detritus of life abounds in the atmosphere. ' 'There was a recent discovery that exotic microbes teem in the rocks hundreds of metres beneath the floor of the Pacific Ocean.'
One thing becomes clear about large animal size : such creatures must have an abundant supply of food .,abundant,Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm. 'Beauty is abundant in a land flowing with snowmelt.' 'Detritus of life abounds in the atmosphere. ' 'There was a recent discovery that exotic microbes teem in the rocks hundreds of metres beneath the floor of the Pacific Ocean.'
"There is abundant evidence from government and private research which shows quite clearly that manual workers , and particularly the unskilled , are more likely to suffer from both short-term and long-term unemployment than the non-manual groups .",abundant,Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm. 'Beauty is abundant in a land flowing with snowmelt.' 'Detritus of life abounds in the atmosphere. ' 'There was a recent discovery that exotic microbes teem in the rocks hundreds of metres beneath the floor of the Pacific Ocean.'
"In the Mediterranean coral was so abundant and so easily harvested that it never became valuable , at least in the home territory .",abundant,Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm. 'Beauty is abundant in a land flowing with snowmelt.' 'Detritus of life abounds in the atmosphere. ' 'There was a recent discovery that exotic microbes teem in the rocks hundreds of metres beneath the floor of the Pacific Ocean.'
"They would n't have to pull in their belts , they would n't have to eke it out and ration themselves because there was n't enough , it was an abundant harvest !",abundant,Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm. 'Beauty is abundant in a land flowing with snowmelt.' 'Detritus of life abounds in the atmosphere. ' 'There was a recent discovery that exotic microbes teem in the rocks hundreds of metres beneath the floor of the Pacific Ocean.'
"Nevertheless , echo sounding shows that fish are abundant over the entire surface to a depth of at least 30 m .",abundant,Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm. 'Beauty is abundant in a land flowing with snowmelt.' 'Detritus of life abounds in the atmosphere. ' 'There was a recent discovery that exotic microbes teem in the rocks hundreds of metres beneath the floor of the Pacific Ocean.'
"Until 15 years ago , the frogs were abundant in Northern Australia .",abundant,Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm. 'Beauty is abundant in a land flowing with snowmelt.' 'Detritus of life abounds in the atmosphere. ' 'There was a recent discovery that exotic microbes teem in the rocks hundreds of metres beneath the floor of the Pacific Ocean.'
"Though several tigers are sometimes found together because , perhaps , prey is particularly abundant in that area , tigers are essentially solitary .",abundant,Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm. 'Beauty is abundant in a land flowing with snowmelt.' 'Detritus of life abounds in the atmosphere. ' 'There was a recent discovery that exotic microbes teem in the rocks hundreds of metres beneath the floor of the Pacific Ocean.'
"Today , we serve children and families with a multitude of problems : emotional , physical , psychological and sexual abuse .",abuse,Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. ' Her father verbally abused her mother. '"
"Doug had heard that his wife Danielle had been known to appear at the store with a black eye or other signs of physical abuse , and it was well known that he hated Dempster ; he had frequently said so himself in front of witnesses .",abuse,Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. ' Her father verbally abused her mother. '"
"Though the number of cases where a link between HIV/AIDS and child sexual abuse has been made is relatively small , the long-term implications can not be ignored .",abuse,Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. ' Her father verbally abused her mother. '"
"In the USA some interesting research ( Zuravin and Watson , 1987 ) has been conducted into anonymous reports of child physical abuse , which indicated that reports made by anonymous sources were more likely to be unfounded than reports made by professionals and nonprofessionals .",abuse,Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. ' Her father verbally abused her mother. '"
"No one , either in Orkney or beyond , denies that child abuse exists ; some say that the sexual abuse of children is rife in today 's society .",abuse,Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. ' Her father verbally abused her mother. '"
It is indeed very rare for a case of sexual abuse by a teacher to surface publicly .,abuse,Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. ' Her father verbally abused her mother. '"
A FULL public inquiry was promised last night into allegations of sexual and physical abuse of children in council care .,abuse,Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. ' Her father verbally abused her mother. '"
One girl talked to us about her sexual abuse .,abuse,Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. ' Her father verbally abused her mother. '"
"Reports on the armed conflict in the former Yugoslavia , however , suggest not only that rape and the sexual abuse of women have been carried out on a massive scale , but that it has been systematic and organised .",abuse,Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. ' Her father verbally abused her mother. '"
Abuse of children has been recognised as an important concern because children are seen to represent the future ; to abuse them is to abuse the future welfare of the nation .,abuse,Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. ' Her father verbally abused her mother. '"
"The king tried to rally the city to his defence , but failed utterly and withdrew westwards with the Despensers and a few remaining friends .",with,Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in combination with the new drug and I will be cured of my symptoms.'
In March the first Soviet military units began withdrawing with their equipment from Czechoslovakia and Hungary .,with,Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in combination with the new drug and I will be cured of my symptoms.'
"He finally withdrew with Rupert and , like him , was at length formally reconciled to the king , being pardoned on 3 April 1646 and created baronet on 11 June .",with,Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in combination with the new drug and I will be cured of my symptoms.'
"With his family and friends Doak has pioneered work and communication with dolphins in the wild , interacting with them on their terms , and in their environment .",with,Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in combination with the new drug and I will be cured of my symptoms.'
"While I was standing on the lawn with Mame , waiting for another tremor , I noticed that all the earthworms were emerging from the ground and slithering across the lawn !",with,Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in combination with the new drug and I will be cured of my symptoms.'
"In the early 1980 s , Libya accelerated its efforts to obtain a longer-range ballistic missile with the al-Fatah , reportedly with a range of 950 km .",with,Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in combination with the new drug and I will be cured of my symptoms.'
"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod 's paranoia by fleeing into Egypt with the new - born infant .",with,Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in combination with the new drug and I will be cured of my symptoms.'
Prosperity has brought with it a new emphasis on historic preservation .,with,Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in combination with the new drug and I will be cured of my symptoms.'
"So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .",with,Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in combination with the new drug and I will be cured of my symptoms.'
"With the help of friends like you , Goodwill has continued to adapt our services to meet the human needs of our changing society .",with,Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in combination with the new drug and I will be cured of my symptoms.'
"They accomplish this task by listening to papers delivered on them and by attending ` pray-ins "" in which they pray to the Implied Reader .",accomplish,Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.' 'In response, the Prime Minister has simply cited his free-market accomplishments. '"
Leonie had exactly one hour to accomplish her mission .,accomplish,Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.' 'In response, the Prime Minister has simply cited his free-market accomplishments. '"
"In the past 200 years , America has accomplished feats which took other countries years to achieve .",accomplish,Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.' 'In response, the Prime Minister has simply cited his free-market accomplishments. '"
In any transient situation there are always institutions and individuals that are able to anticipate the need for change and are sufficiently flexible to be able to accomplish the transition early and in an orderly fashion .,accomplish,Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.' 'In response, the Prime Minister has simply cited his free-market accomplishments. '"
You can accomplish much more without any damage to health or mental stability .,accomplish,Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.' 'In response, the Prime Minister has simply cited his free-market accomplishments. '"
Indeed very few presidents in the last half century have accomplished much in the way of substantial policy change .,accomplish,Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.' 'In response, the Prime Minister has simply cited his free-market accomplishments. '"
"Recent and current work demonstrates incontrovertibly that if a child is adept at segmenting heard speech into sub-word constituents before tackling the task of learning to read , this task will be accomplished much more easily .",accomplish,Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.' 'In response, the Prime Minister has simply cited his free-market accomplishments. '"
"He accomplished much while director of the Metropolitan Museum of Art , but today is apparently content to sit out the art world harbouring bitter memories of what might have been .",accomplish,Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.' 'In response, the Prime Minister has simply cited his free-market accomplishments. '"
"Good-nights were exchanged and he left the shop with a feeling of satisfaction , as if a rather difficult task had been successfully accomplished .",accomplish,Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.' 'In response, the Prime Minister has simply cited his free-market accomplishments. '"
With some hindsight we began to realise that the design and control of large systems can not be successfully accomplished without exceedingly large quantities of information .,accomplish,Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.' 'In response, the Prime Minister has simply cited his free-market accomplishments. '"
"Wan and red-eyed , and nearly always male , they wore rebel chic regalia and communicated in either a hyperactive babble or a laboured monotone .",regalia,Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
"Tammuz managed to catch Roirbak just as he was making the finishing touches to his evening regalia : black , matt silk suit with thread-wide yellow pinstripe , understated gold adornments , I-Ching earrings .",regalia,Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
"The faces grinning from the tatty punk regalia looked so depraved and hollow-eyed that I could not bear to think of my American blues friends calling them ` sir "" .",regalia,Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
"Some of them were dressed in Ottoman regalia or Arab dress or even French cavalry uniform , serious-looking young men who -- in the later pictures -- were carrying Lee-Enfield service rifles .",regalia,Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
Barbarossa 's own depiction shows imperial regalia of orb and sceptre .,regalia,Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
"` I expect she would laugh her socks off if she found you here in royal regalia ! """,regalia,Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
He did so wearing his coral regalia .,regalia,Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
The wealth of diamonds incorporated in her regalia reflected the fact that Catherine presided over a realm that for a short period was the world 's leading producer .,regalia,Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
"Aunt Tossie , Mrs Florence Fox-Collier , was Maman 's ( Lady Forester 's ) elder and widowed sister -- widowed for two years but still wearing full mourning regalia .",regalia,Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
